title	date	link	author
Do You Want to Bring Your Own Device?		https://www.securityweek.com//do-you-want-bring-your-own-device	Jon-Louis Heimerl
BYOD: One Size Risks All		https://www.securityweek.com//byod-one-size-risks-all	Chris Poulin
Information Superiority for the Mobile Enterprise		https://www.securityweek.com//information-superiority-mobile-enterprise	Marc Solomon
Security Automation: Is an 'Open' Mindset Your Best Path to Higher Security?		https://www.securityweek.com//security-automation-open-mindset-your-best-path-higher-security	Johnnie Konstantas
You Call That Phone Hacking?		https://www.securityweek.com//you-call-phone-hacking	Jon-Louis Heimerl
"Firewalls for BYOD, Hacktivism and Today’s Highly Distributed ""Network"""		https://www.securityweek.com//firewalls-byod-hacktivism-and-today%E2%80%99s-highly-distributed-network	Johnnie Konstantas
Embracing Mobile Payments? You Might Not Be Compliant		https://www.securityweek.com//embracing-mobile-payments-you-might-not-be-compliant	Chris Hinkley
Control: The Scariest Thing about Securing Mobile Devices		https://www.securityweek.com//control-scariest-thing-about-securing-mobile-devices	Oliver Rochford
Failure of the BlackBerry PlayBook Means CIOs Need to Plan for an Apple World		https://www.securityweek.com//failure-blackberry-playbook-means-cios-need-plan-apple-world	Andrew Jaquith
Mobile Industry Slow to Push Android Updates to Users		https://www.securityweek.com//mobile-industry-slow-push-android-updates-users	Robert Vamosi
How Vulnerable Are You to Cell Phone Hacks?		https://www.securityweek.com//how-vulnerable-are-you-cell-phone-hacks	Johnnie Konstantas
How Logging On From Starbucks Can Compromise Your Corporate Security		https://www.securityweek.com//how-logging-starbucks-can-compromise-your-corporate-security	Ram Mohan
The Coming of Mobile Malware - Still Rare, but no Less Sinister Than Their PC Counterparts		https://www.securityweek.com//coming-mobile-malware-still-rare-no-less-sinister-their-pc-counterparts	Idan Aharoni
Rethinking Cybersecurity in a Mobile World		https://www.securityweek.com//rethinking-cybersecurity-mobile-world	Dr. Alastair MacWillson
Enterprise Attacks by Mobile Devices Not Fully Realized		https://www.securityweek.com//enterprise-attacks-mobile-devices-not-fully-realized	Robert Vamosi
Why the BlackBerry PlayBook Shows Us The Future of Enterprise Security -- Especially if it Fails		https://www.securityweek.com//why-blackberry-playbook-shows-us-future-enterprise-security-especially-if-it-fails	Andrew Jaquith
Got Android? Some Considerations on Permissions and Security		https://www.securityweek.com//got-android-some-considerations-permissions-and-security	Jon-Louis Heimerl
Will the U.S. be Able to Fend Off the EMV Card Standard Invasion? Probably Not for Long.		https://www.securityweek.com//will-us-be-able-fend-emv-card-standard-invasion-probably-not-long	Christopher Justice
Mobile Threats Moving Up the Stack - Security Must Catch Up		https://www.securityweek.com//mobile-threats-moving-stack-security-must-catch	Noa Bar-Yosef
SecurityWeek Top 25 Picks for 2010		https://www.securityweek.com//securityweek-top-25-picks-2010	Mike Lennon
Mobile Security: It's Time to Get Serious		https://www.securityweek.com//mobile-security-its-time-get-serious	Terry Cutler
Out of Band Authentication: How Fraudsters Circumvent Sophisticated Security Measures		https://www.securityweek.com//out-band-authentication-how-fraudsters-circumvent-sophisticated-security-measures	Idan Aharoni
Unspoofable Device Identity Using NAND Flash Memory		https://www.securityweek.com//unspoofable-device-identity-using-nand-flash-memory	Markus Jakobsson
Using Guilt Instead of Cryptography		https://www.securityweek.com//using-guilt-instead-cryptography	Markus Jakobsson
iPhone 4 in the Enterprise - New Features Expected to Drive Adoption of iPhones in the Enterprise		https://www.securityweek.com//iphone-4-enterprise-new-features-expected-drive-adoption-iphones-enterprise	Mike Lennon
Attacking the Organism: Telecom Service Providers		https://www.securityweek.com//attacking-organism-telecom-service-providers	Preston Hogue
'Tis the Season for Mobile Threats		https://www.securityweek.com//tis-season-mobile-threats	John Maddison
When Good Apps Go Bad: Protecting Your Data Through App Permissions		https://www.securityweek.com//when-good-apps-go-bad-protecting-your-data-through-app-permissions	Laurence Pitt
Mitigating Digital Risk from the Android PC in Your Pocket		https://www.securityweek.com//mitigating-digital-risk-android-pc-your-pocket	Alastair Paterson
Keeping Your Remote Workforce Safe and Secure This Summer		https://www.securityweek.com//keeping-your-remote-workforce-safe-and-secure-summer	Scott Simkin
What's Up with Your Mobile Apps? Identifying and Mitigating Digital Risk		https://www.securityweek.com//whats-your-mobile-apps-identifying-and-mitigating-digital-risk	Alastair Paterson
The Mobile App is the New Endpoint		https://www.securityweek.com//mobile-app-new-endpoint	Adam Ely
Growth in Endpoint Threats Calls for A Proactive Mindset		https://www.securityweek.com//growth-endpoint-threats-calls-proactive-mindset	Simon Crosby
Rethinking Mobile Security - Why Apps Come First		https://www.securityweek.com//rethinking-mobile-security-why-apps-come-first	Adam Ely
Three Reasons Mobile DDoS Never Materialized		https://www.securityweek.com//three-reasons-mobile-ddos-never-materialized	David Holmes
Attacking the Organism: Telecom Service Providers		https://www.securityweek.com//attacking-organism-telecom-service-providers	Preston Hogue
'Tis the Season for Mobile Threats		https://www.securityweek.com//tis-season-mobile-threats	John Maddison
When Good Apps Go Bad: Protecting Your Data Through App Permissions		https://www.securityweek.com//when-good-apps-go-bad-protecting-your-data-through-app-permissions	Laurence Pitt
Mitigating Digital Risk from the Android PC in Your Pocket		https://www.securityweek.com//mitigating-digital-risk-android-pc-your-pocket	Alastair Paterson
Keeping Your Remote Workforce Safe and Secure This Summer		https://www.securityweek.com//keeping-your-remote-workforce-safe-and-secure-summer	Scott Simkin
What's Up with Your Mobile Apps? Identifying and Mitigating Digital Risk		https://www.securityweek.com//whats-your-mobile-apps-identifying-and-mitigating-digital-risk	Alastair Paterson
The Mobile App is the New Endpoint		https://www.securityweek.com//mobile-app-new-endpoint	Adam Ely
Growth in Endpoint Threats Calls for A Proactive Mindset		https://www.securityweek.com//growth-endpoint-threats-calls-proactive-mindset	Simon Crosby
Rethinking Mobile Security - Why Apps Come First		https://www.securityweek.com//rethinking-mobile-security-why-apps-come-first	Adam Ely
Three Reasons Mobile DDoS Never Materialized		https://www.securityweek.com//three-reasons-mobile-ddos-never-materialized	David Holmes
A New Role in IT - The Mobile Strategist		https://www.securityweek.com//new-role-it-mobile-strategist	Adam Ely
Where is the Android DDoS Armageddon?		https://www.securityweek.com//where-android-ddos-armageddon	David Holmes
2015 Security Predictions - Have They Held True So Far?		https://www.securityweek.com//2015-security-predictions-have-they-held-true-so-far	Adam Ely
Let's Make Mobile Security Easy		https://www.securityweek.com//lets-make-mobile-security-easy	Adam Ely
Mobile Security Predictions for 2015		https://www.securityweek.com//mobile-security-predictions-2015	Adam Ely
Securing Mobile in the Enterprise - Identify Risky Apps		https://www.securityweek.com//securing-mobile-enterprise-identify-risky-apps	Adam Ely
"The Smartphone ""Kill Switch"" Law - What Does It Mean For You?"		https://www.securityweek.com//smartphone-kill-switch-law-what-does-it-mean-you	Adam Ely
Enterprise Mobility: COPE vs. BYOD		https://www.securityweek.com//enterprise-mobility-cope-vs-byod	Adam Ely
Mobile Apps Are Replacing the Web - Is Your Enterprise Ready?		https://www.securityweek.com//mobile-apps-are-replacing-web-your-enterprise-ready	Adam Ely
CISO Challenge: Flexible Mobile Management		https://www.securityweek.com//ciso-challenge-flexible-mobile-management	Adam Ely
Attacking the Organism: Telecom Service Providers		https://www.securityweek.com//attacking-organism-telecom-service-providers	Preston Hogue
'Tis the Season for Mobile Threats		https://www.securityweek.com//tis-season-mobile-threats	John Maddison
When Good Apps Go Bad: Protecting Your Data Through App Permissions		https://www.securityweek.com//when-good-apps-go-bad-protecting-your-data-through-app-permissions	Laurence Pitt
Mitigating Digital Risk from the Android PC in Your Pocket		https://www.securityweek.com//mitigating-digital-risk-android-pc-your-pocket	Alastair Paterson
Keeping Your Remote Workforce Safe and Secure This Summer		https://www.securityweek.com//keeping-your-remote-workforce-safe-and-secure-summer	Scott Simkin
What's Up with Your Mobile Apps? Identifying and Mitigating Digital Risk		https://www.securityweek.com//whats-your-mobile-apps-identifying-and-mitigating-digital-risk	Alastair Paterson
The Mobile App is the New Endpoint		https://www.securityweek.com//mobile-app-new-endpoint	Adam Ely
Growth in Endpoint Threats Calls for A Proactive Mindset		https://www.securityweek.com//growth-endpoint-threats-calls-proactive-mindset	Simon Crosby
Rethinking Mobile Security - Why Apps Come First		https://www.securityweek.com//rethinking-mobile-security-why-apps-come-first	Adam Ely
Three Reasons Mobile DDoS Never Materialized		https://www.securityweek.com//three-reasons-mobile-ddos-never-materialized	David Holmes
A New Role in IT - The Mobile Strategist		https://www.securityweek.com//new-role-it-mobile-strategist	Adam Ely
Where is the Android DDoS Armageddon?		https://www.securityweek.com//where-android-ddos-armageddon	David Holmes
2015 Security Predictions - Have They Held True So Far?		https://www.securityweek.com//2015-security-predictions-have-they-held-true-so-far	Adam Ely
Let's Make Mobile Security Easy		https://www.securityweek.com//lets-make-mobile-security-easy	Adam Ely
Mobile Security Predictions for 2015		https://www.securityweek.com//mobile-security-predictions-2015	Adam Ely
Securing Mobile in the Enterprise - Identify Risky Apps		https://www.securityweek.com//securing-mobile-enterprise-identify-risky-apps	Adam Ely
"The Smartphone ""Kill Switch"" Law - What Does It Mean For You?"		https://www.securityweek.com//smartphone-kill-switch-law-what-does-it-mean-you	Adam Ely
Enterprise Mobility: COPE vs. BYOD		https://www.securityweek.com//enterprise-mobility-cope-vs-byod	Adam Ely
Mobile Apps Are Replacing the Web - Is Your Enterprise Ready?		https://www.securityweek.com//mobile-apps-are-replacing-web-your-enterprise-ready	Adam Ely
CISO Challenge: Flexible Mobile Management		https://www.securityweek.com//ciso-challenge-flexible-mobile-management	Adam Ely
CISO Perspective: Becoming a Business Enabler		https://www.securityweek.com//ciso-perspective-becoming-business-enabler	Adam Ely
Identifying Mobile Blind Spots		https://www.securityweek.com//identifying-mobile-blind-spots	Adam Ely
"CISO Perspective: Overcoming ""No"" Fatigue"		https://www.securityweek.com//ciso-perspective-overcoming-no-fatigue	Adam Ely
Podcast: Inside the 'NEWSCASTER' Cyber Espionage Campaign		https://www.securityweek.com//podcast-inside-newscaster-cyber-espionage-campaign	Ryan Naraine
Network Security Planning: Steps for Safely Enabling Mobile Devices		https://www.securityweek.com//network-security-planning-steps-safely-enabling-mobile-devices	Danelle Au
Podcast: Inside Microsoft's Efforts to Fight Against Botnets		https://www.securityweek.com//podcast-inside-microsofts-efforts-fight-against-botnets	Ryan Naraine
Its Time to Secure Mobile Devices, Not Just Manage Them		https://www.securityweek.com//its-time-secure-mobile-devices-not-just-manage-them	Wade Williamson
Podcast: Understanding the Dangers of LinkedIn Intro		https://www.securityweek.com//podcast-understanding-dangers-linkedin-intro	Ryan Naraine
Mobile Disruption: A New Dimension of Risk		https://www.securityweek.com//mobile-disruption-new-dimension-risk	Torsten George
Podcast: Inside the Icefog APT Campaign		https://www.securityweek.com//podcast-inside-icefog-apt-campaign	Ryan Naraine
In the 'Smart' World, Sharing Is Caring		https://www.securityweek.com//smart-world-sharing-caring	Michael Callahan
Podcast: Jerry Bryant on the Microsoft MAPP Expansion		https://www.securityweek.com//podcast-jerry-bryant-microsoft-mapp-expansion	Ryan Naraine
Mobile Advertising and What it Means for Security		https://www.securityweek.com//mobile-advertising-and-what-it-means-security	Wade Williamson
Podcast: Car Hacking with Charlie Miller and Chris Valasek		https://www.securityweek.com//podcast-car-hacking-charlie-miller-and-chris-valasek	Ryan Naraine
Get My Face Out of Your Camera		https://www.securityweek.com//get-my-face-out-your-camera	Gant Redmon
Next Generation Mobile Networks Come with Next Generation Security Threats		https://www.securityweek.com//next-generation-mobile-networks-come-next-generation-security-threats	Avi Chesla
How Are You COPEing With Mobile Security?		https://www.securityweek.com//how-are-you-copeing-mobile-security	Nick Cavalancia
No Organization Is Ready for BYOD		https://www.securityweek.com//no-organization-ready-byod	Nick Cavalancia
"Consumer Technology Needs ""Enterprization"""		https://www.securityweek.com//consumer-technology-needs-enterprization	Nimmy Reichenberg
BYOD: The Flash Mob of Network Security		https://www.securityweek.com//byod-flash-mob-network-security	Dr. Mike Lloyd
Tackling Security Acronyms That Start With BYO		https://www.securityweek.com//tackling-security-acronyms-start-byo	Nimmy Reichenberg
Do You Want to Bring Your Own Device?		https://www.securityweek.com//do-you-want-bring-your-own-device	Jon-Louis Heimerl
BYOD: One Size Risks All		https://www.securityweek.com//byod-one-size-risks-all	Chris Poulin
Information Superiority for the Mobile Enterprise		https://www.securityweek.com//information-superiority-mobile-enterprise	Marc Solomon
Security Automation: Is an 'Open' Mindset Your Best Path to Higher Security?		https://www.securityweek.com//security-automation-open-mindset-your-best-path-higher-security	Johnnie Konstantas
You Call That Phone Hacking?		https://www.securityweek.com//you-call-phone-hacking	Jon-Louis Heimerl
"Firewalls for BYOD, Hacktivism and Today’s Highly Distributed ""Network"""		https://www.securityweek.com//firewalls-byod-hacktivism-and-today%E2%80%99s-highly-distributed-network	Johnnie Konstantas
Embracing Mobile Payments? You Might Not Be Compliant		https://www.securityweek.com//embracing-mobile-payments-you-might-not-be-compliant	Chris Hinkley
Control: The Scariest Thing about Securing Mobile Devices		https://www.securityweek.com//control-scariest-thing-about-securing-mobile-devices	Oliver Rochford
Failure of the BlackBerry PlayBook Means CIOs Need to Plan for an Apple World		https://www.securityweek.com//failure-blackberry-playbook-means-cios-need-plan-apple-world	Andrew Jaquith
Mobile Industry Slow to Push Android Updates to Users		https://www.securityweek.com//mobile-industry-slow-push-android-updates-users	Robert Vamosi
How Vulnerable Are You to Cell Phone Hacks?		https://www.securityweek.com//how-vulnerable-are-you-cell-phone-hacks	Johnnie Konstantas
How Logging On From Starbucks Can Compromise Your Corporate Security		https://www.securityweek.com//how-logging-starbucks-can-compromise-your-corporate-security	Ram Mohan
The Coming of Mobile Malware - Still Rare, but no Less Sinister Than Their PC Counterparts		https://www.securityweek.com//coming-mobile-malware-still-rare-no-less-sinister-their-pc-counterparts	Idan Aharoni
Rethinking Cybersecurity in a Mobile World		https://www.securityweek.com//rethinking-cybersecurity-mobile-world	Dr. Alastair MacWillson
Enterprise Attacks by Mobile Devices Not Fully Realized		https://www.securityweek.com//enterprise-attacks-mobile-devices-not-fully-realized	Robert Vamosi
Why the BlackBerry PlayBook Shows Us The Future of Enterprise Security -- Especially if it Fails		https://www.securityweek.com//why-blackberry-playbook-shows-us-future-enterprise-security-especially-if-it-fails	Andrew Jaquith
Got Android? Some Considerations on Permissions and Security		https://www.securityweek.com//got-android-some-considerations-permissions-and-security	Jon-Louis Heimerl
Will the U.S. be Able to Fend Off the EMV Card Standard Invasion? Probably Not for Long.		https://www.securityweek.com//will-us-be-able-fend-emv-card-standard-invasion-probably-not-long	Christopher Justice
Mobile Threats Moving Up the Stack - Security Must Catch Up		https://www.securityweek.com//mobile-threats-moving-stack-security-must-catch	Noa Bar-Yosef
SecurityWeek Top 25 Picks for 2010		https://www.securityweek.com//securityweek-top-25-picks-2010	Mike Lennon
Mobile Security: It's Time to Get Serious		https://www.securityweek.com//mobile-security-its-time-get-serious	Terry Cutler
Out of Band Authentication: How Fraudsters Circumvent Sophisticated Security Measures		https://www.securityweek.com//out-band-authentication-how-fraudsters-circumvent-sophisticated-security-measures	Idan Aharoni
Unspoofable Device Identity Using NAND Flash Memory		https://www.securityweek.com//unspoofable-device-identity-using-nand-flash-memory	Markus Jakobsson
Using Guilt Instead of Cryptography		https://www.securityweek.com//using-guilt-instead-cryptography	Markus Jakobsson
iPhone 4 in the Enterprise - New Features Expected to Drive Adoption of iPhones in the Enterprise		https://www.securityweek.com//iphone-4-enterprise-new-features-expected-drive-adoption-iphones-enterprise	Mike Lennon
Attacking the Organism: Telecom Service Providers		https://www.securityweek.com//attacking-organism-telecom-service-providers	Preston Hogue
'Tis the Season for Mobile Threats		https://www.securityweek.com//tis-season-mobile-threats	John Maddison
When Good Apps Go Bad: Protecting Your Data Through App Permissions		https://www.securityweek.com//when-good-apps-go-bad-protecting-your-data-through-app-permissions	Laurence Pitt
Mitigating Digital Risk from the Android PC in Your Pocket		https://www.securityweek.com//mitigating-digital-risk-android-pc-your-pocket	Alastair Paterson
Keeping Your Remote Workforce Safe and Secure This Summer		https://www.securityweek.com//keeping-your-remote-workforce-safe-and-secure-summer	Scott Simkin
What's Up with Your Mobile Apps? Identifying and Mitigating Digital Risk		https://www.securityweek.com//whats-your-mobile-apps-identifying-and-mitigating-digital-risk	Alastair Paterson
The Mobile App is the New Endpoint		https://www.securityweek.com//mobile-app-new-endpoint	Adam Ely
Growth in Endpoint Threats Calls for A Proactive Mindset		https://www.securityweek.com//growth-endpoint-threats-calls-proactive-mindset	Simon Crosby
Rethinking Mobile Security - Why Apps Come First		https://www.securityweek.com//rethinking-mobile-security-why-apps-come-first	Adam Ely
Three Reasons Mobile DDoS Never Materialized		https://www.securityweek.com//three-reasons-mobile-ddos-never-materialized	David Holmes
A New Role in IT - The Mobile Strategist		https://www.securityweek.com//new-role-it-mobile-strategist	Adam Ely
Where is the Android DDoS Armageddon?		https://www.securityweek.com//where-android-ddos-armageddon	David Holmes
2015 Security Predictions - Have They Held True So Far?		https://www.securityweek.com//2015-security-predictions-have-they-held-true-so-far	Adam Ely
Let's Make Mobile Security Easy		https://www.securityweek.com//lets-make-mobile-security-easy	Adam Ely
Mobile Security Predictions for 2015		https://www.securityweek.com//mobile-security-predictions-2015	Adam Ely
Securing Mobile in the Enterprise - Identify Risky Apps		https://www.securityweek.com//securing-mobile-enterprise-identify-risky-apps	Adam Ely
"The Smartphone ""Kill Switch"" Law - What Does It Mean For You?"		https://www.securityweek.com//smartphone-kill-switch-law-what-does-it-mean-you	Adam Ely
Enterprise Mobility: COPE vs. BYOD		https://www.securityweek.com//enterprise-mobility-cope-vs-byod	Adam Ely
Mobile Apps Are Replacing the Web - Is Your Enterprise Ready?		https://www.securityweek.com//mobile-apps-are-replacing-web-your-enterprise-ready	Adam Ely
CISO Challenge: Flexible Mobile Management		https://www.securityweek.com//ciso-challenge-flexible-mobile-management	Adam Ely
CISO Perspective: Becoming a Business Enabler		https://www.securityweek.com//ciso-perspective-becoming-business-enabler	Adam Ely
Identifying Mobile Blind Spots		https://www.securityweek.com//identifying-mobile-blind-spots	Adam Ely
"CISO Perspective: Overcoming ""No"" Fatigue"		https://www.securityweek.com//ciso-perspective-overcoming-no-fatigue	Adam Ely
Podcast: Inside the 'NEWSCASTER' Cyber Espionage Campaign		https://www.securityweek.com//podcast-inside-newscaster-cyber-espionage-campaign	Ryan Naraine
Network Security Planning: Steps for Safely Enabling Mobile Devices		https://www.securityweek.com//network-security-planning-steps-safely-enabling-mobile-devices	Danelle Au
Podcast: Inside Microsoft's Efforts to Fight Against Botnets		https://www.securityweek.com//podcast-inside-microsofts-efforts-fight-against-botnets	Ryan Naraine
Its Time to Secure Mobile Devices, Not Just Manage Them		https://www.securityweek.com//its-time-secure-mobile-devices-not-just-manage-them	Wade Williamson
Podcast: Understanding the Dangers of LinkedIn Intro		https://www.securityweek.com//podcast-understanding-dangers-linkedin-intro	Ryan Naraine
Mobile Disruption: A New Dimension of Risk		https://www.securityweek.com//mobile-disruption-new-dimension-risk	Torsten George
Podcast: Inside the Icefog APT Campaign		https://www.securityweek.com//podcast-inside-icefog-apt-campaign	Ryan Naraine
In the 'Smart' World, Sharing Is Caring		https://www.securityweek.com//smart-world-sharing-caring	Michael Callahan
Podcast: Jerry Bryant on the Microsoft MAPP Expansion		https://www.securityweek.com//podcast-jerry-bryant-microsoft-mapp-expansion	Ryan Naraine
Mobile Advertising and What it Means for Security		https://www.securityweek.com//mobile-advertising-and-what-it-means-security	Wade Williamson
Podcast: Car Hacking with Charlie Miller and Chris Valasek		https://www.securityweek.com//podcast-car-hacking-charlie-miller-and-chris-valasek	Ryan Naraine
Get My Face Out of Your Camera		https://www.securityweek.com//get-my-face-out-your-camera	Gant Redmon
Next Generation Mobile Networks Come with Next Generation Security Threats		https://www.securityweek.com//next-generation-mobile-networks-come-next-generation-security-threats	Avi Chesla
How Are You COPEing With Mobile Security?		https://www.securityweek.com//how-are-you-copeing-mobile-security	Nick Cavalancia
No Organization Is Ready for BYOD		https://www.securityweek.com//no-organization-ready-byod	Nick Cavalancia
"Consumer Technology Needs ""Enterprization"""		https://www.securityweek.com//consumer-technology-needs-enterprization	Nimmy Reichenberg
BYOD: The Flash Mob of Network Security		https://www.securityweek.com//byod-flash-mob-network-security	Dr. Mike Lloyd
Tackling Security Acronyms That Start With BYO		https://www.securityweek.com//tackling-security-acronyms-start-byo	Nimmy Reichenberg
Do You Want to Bring Your Own Device?		https://www.securityweek.com//do-you-want-bring-your-own-device	Jon-Louis Heimerl
BYOD: One Size Risks All		https://www.securityweek.com//byod-one-size-risks-all	Chris Poulin
Information Superiority for the Mobile Enterprise		https://www.securityweek.com//information-superiority-mobile-enterprise	Marc Solomon
Security Automation: Is an 'Open' Mindset Your Best Path to Higher Security?		https://www.securityweek.com//security-automation-open-mindset-your-best-path-higher-security	Johnnie Konstantas
You Call That Phone Hacking?		https://www.securityweek.com//you-call-phone-hacking	Jon-Louis Heimerl
"Firewalls for BYOD, Hacktivism and Today’s Highly Distributed ""Network"""		https://www.securityweek.com//firewalls-byod-hacktivism-and-today%E2%80%99s-highly-distributed-network	Johnnie Konstantas
Embracing Mobile Payments? You Might Not Be Compliant		https://www.securityweek.com//embracing-mobile-payments-you-might-not-be-compliant	Chris Hinkley
Control: The Scariest Thing about Securing Mobile Devices		https://www.securityweek.com//control-scariest-thing-about-securing-mobile-devices	Oliver Rochford
Failure of the BlackBerry PlayBook Means CIOs Need to Plan for an Apple World		https://www.securityweek.com//failure-blackberry-playbook-means-cios-need-plan-apple-world	Andrew Jaquith
Mobile Industry Slow to Push Android Updates to Users		https://www.securityweek.com//mobile-industry-slow-push-android-updates-users	Robert Vamosi
How Vulnerable Are You to Cell Phone Hacks?		https://www.securityweek.com//how-vulnerable-are-you-cell-phone-hacks	Johnnie Konstantas
How Logging On From Starbucks Can Compromise Your Corporate Security		https://www.securityweek.com//how-logging-starbucks-can-compromise-your-corporate-security	Ram Mohan
The Coming of Mobile Malware - Still Rare, but no Less Sinister Than Their PC Counterparts		https://www.securityweek.com//coming-mobile-malware-still-rare-no-less-sinister-their-pc-counterparts	Idan Aharoni
Rethinking Cybersecurity in a Mobile World		https://www.securityweek.com//rethinking-cybersecurity-mobile-world	Dr. Alastair MacWillson
Enterprise Attacks by Mobile Devices Not Fully Realized		https://www.securityweek.com//enterprise-attacks-mobile-devices-not-fully-realized	Robert Vamosi
Why the BlackBerry PlayBook Shows Us The Future of Enterprise Security -- Especially if it Fails		https://www.securityweek.com//why-blackberry-playbook-shows-us-future-enterprise-security-especially-if-it-fails	Andrew Jaquith
Got Android? Some Considerations on Permissions and Security		https://www.securityweek.com//got-android-some-considerations-permissions-and-security	Jon-Louis Heimerl
Will the U.S. be Able to Fend Off the EMV Card Standard Invasion? Probably Not for Long.		https://www.securityweek.com//will-us-be-able-fend-emv-card-standard-invasion-probably-not-long	Christopher Justice
